Montanha,Altitude (metros),Face,Via,Grau Geral,Grau do Crux,Grau do Artificial (Passadas),Grau de Duração,Grau de Exposição,Extensão (metros),Conquistadores,Data da Conquista
Morro de São João,242,Face Noroeste (Cemitério São João Batista),Balança-Mas-Não-Cai,4.0,VIIa,,,E2/3,100.0,Daniel 'Goiaba' Lacerda; Eloy Corso; Hildson 'Hillo' Santana; Marcelo Moraes; Sancho Corá,
Morro de São João,242,Face Noroeste (Cemitério São João Batista),Francesco Berardi,4.0,V,,,E2/3,85.0,Juratan Câmara; Marco Vidon,198?
Morro de São João,242,Face Noroeste (Cemitério São João Batista),Nós e a eternidade,4.0,VI,,,,60.0,André Ilha; Marco Vidon,23/01/1988
Morro de São João,242,Face Noroeste (Cemitério São João Batista),Sete Palmos,4.0,VIIb,,,,60.0,Juratan Câmara; Marco Vidon,03/05/1988
Morro de São João,242,Face Noroeste (Cemitério São João Batista),Forças ocultas,3.0,VIIb,,,,60.0,André Ilha; Marco Vidon,26/04/1988
Agulha do Inhangá,164,Face Leste,Aristóteles contemplando o busto de Homero,,,A2,,,55.0,Alain Villaume,196?
Agulha do Inhangá,164,Face Sudeste,Via normal,,II,,,,10.0,,
Agulha do Inhangá,164,Face Sudeste,Chamonix,,III (A1/VIIIa),,,,50.0,Alexandre Decker; Anselmo Pires; Jair Lourenço; Jaime Pitaluga; Juarez Trigueiro,23/01/1965
Agulha do Inhangá,164,Face Sudoeste,Variante central,,,,,,,Etzel von Stockert; José 'Tião' Sebastião; Mauro de Andrade; Raimundo Minchetti,1961
Agulha do Inhangá,164,Face Sudoeste,Passo do gigante,2.0,,,,,,,
Agulha do Inhangá,164,Face Sudoeste,Jânio Quadros,2.0,,,,,,Carlos Cerqueira; José Schuster; Raimundo Minchetti; Rogério Santana,1963
Agulha do Inhangá,164,Face Sudoeste,Variante Luis Carlos Teixeira da Silva,2.0,,A1,,,,Ernani Soares; Frederico Lohmann; Jadyr Santiago; Jean Pierre Von Der Weid; Luis Carlos David; Marcos Teixeira,06/04/1968
Morro dos Cabritos,379,Falésia do Muro,Aresta Fuligem,,VI,,,E2/3,12.0,André 'Batata' Padrenosso; Marcus 'Kiko' Araújo; Ricardo Bastos,05/08/2007
