id,nome,grau,crux,artificial,duracao,exposicao,extensao,conquistadores,data,id_montanha,id_face,id_fonte,id_variante,id_croqui
160,Vadias na marquise,,VIIc,,,,15.0,Alexandre 'Prusik' Moreira; Marcelo 'Cabeludo' Gorini,2000-01-01,14,31.0,1,,
161,KY,,Vsup,,,,15.0,Alexandre 'Prusik' Moreira; Marcelo 'Cabeludo' Gorini,2000-01-01,14,31.0,1,,
162,Fist-Fucking,,VIIb,,,,15.0,Alexandre 'Prusik' Moreira; Marcelo 'Cabeludo' Gorini,2000-01-01,14,31.0,1,,
163,Rainha pornô,,VIIa,,,,12.0,André Ilha; Alexandre 'Prusik' Moreira,2001-12-02,14,31.0,1,,
164,O Voyeur,,VIIb,,,,12.0,Alexandre 'Prusik' Moreira; Marcelo 'Cabeludo' Gorini,2000-01-01,14,31.0,1,,
165,A festa da Dona Aurora,,IVsup,A2,,,12.0,André Ilha; Rodrigo Guardatti,2008-11-16,14,31.0,1,,
166,Noturnos,,Isup,,,,25.0,Bernardo Cruz; Felipe Travassos; Luciano Deodato,1993-07-11,15,32.0,1,,
167,Cupim de pedra,,II,,,,30.0,Alexandre Melo; Felipe Travassos; Vinícius Almeida Jr.,2001-03-04,15,32.0,1,,
168,Crucifixo,,II,,,,35.0,Almir Jerônimo; Bernardo Cruz; Felipe Travassos; Paulo Demétrio,1993-08-09,15,32.0,1,,
169,Mico da onda,,,A1,,,15.0,Cláudio Peixoto,NULL,16,,1,,
170,Macumbalê,,VIIb,,,,30.0,Cláudio Peixoto; Raphael Raine,NULL,16,,1,32.0,
171,Raízes do Pontão,,V,,,,23.0,Cláudio Peixoto,NULL,16,,1,,
172,Tempestade incessante,,V,,,,6.0,Cláudio Peixoto,NULL,17,,1,,
173,A um passo do asfalto,,VIIb,,,,10.0,Cláudio Peixoto,NULL,17,,1,,
174,Pablito e o lagarto na terra do mosquito,,VIIc,,,,7.0,Cláudio Peixoto,NULL,17,,1,,
175,Anta & Anta S.A.,3.0,IVsup,,,,,Carlos Eduardo 'Cadu' Pinto; Eugênio 'Empadão' Epprecht; Roland Cialon,1972-06-03,18,33.0,1,,
176,Bill liberou,3.0,IVsup,,,,,Marcelo Ramos; Mauro Silva,1983-02-24,18,33.0,1,,
177,Vera Regina,4.0,Vsup,A1(3),,,220.0,Carlos Carrozino; Cláudio Leuzinger; Paulo 'Pauleca' Boaventura; Rubem Klein,1965-05-25,18,34.0,1,33.0,
178,Rafael e o sapo na festa do céu,5.0,VIsup,,,E2/3,240.0,Fernando Vieira; Juliano Lindner,2001-03-12,18,34.0,1,35.0,
179,Sombra e água fresca,5.0,VI,,,,350.0,Carlos 'Paulista' Braga; Luis 'Penacho' Bevilacqua; Rodolfo Chermont,1970-09-01,18,34.0,1,36.0,
180,Ninguém merece,6.0,VI,,,E4,150.0,André 'Rato' Kühner; Fernando Sabioni; George 'Jujo' Salamani; Nilton Campos,2003-08-15,18,34.0,1,,
181,Solaris,5.0,Vsup,,,,175.0,Sérgio Bruno; Fernando Poyares,1981-04-17,18,34.0,1,37.0,
182,Caixa de Pandora,5.0,VI,,,,255.0,Ivan Calou; Jean-Pierre Von Der Weid; Luis Alexandre,1999-07-17,18,34.0,1,,
183,Marizel,4.0,V,,,E2/3,210.0,Felis Pires; Ruy Mazurek,1978-01-01,18,34.0,1,38.0,
184,Paulista,3.0,V,,,,190.0,Cristiano Requião; Eugênio 'Empadão' Epprecht,1972-03-30,18,35.0,1,39.0,
185,Tamanho não é documento,5.0,VIIa,,,E2/3,100.0,André 'Rato' Kühner; Fernando Sabioni; Gabriela Saliba; Patrícia Duffles,2001-01-20,18,35.0,1,,
186,Chaminé Ivo Pereira,3.0,,,,,,Almy Ulisséa; Ivo Pereira; Oscar Azambuja,1935-09-01,18,36.0,1,,
